ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-10-20,22488.26987195751,-3485.5218054799698,36187.93562328004,22488.26987195751,22488.26987195751,-5409.119969558926,-5409.119969558926,-5409.119969558926,-5409.119969558926,-5409.119969558926,-5409.119969558926,0.0,0.0,0.0,17079.14990239858
2021-10-21,23075.06170592855,-2964.9135731140836,34591.86509479387,23075.06170592855,23075.06170592855,-7697.264208548743,-7697.264208548743,-7697.264208548743,-7697.264208548743,-7697.264208548743,-7697.264208548743,0.0,0.0,0.0,15377.797497379808
2021-10-22,23661.853542845114,8797.264372945583,45273.68189857837,23661.853542845114,23661.853542845114,3562.58376169128,3562.58376169128,3562.58376169128,3562.58376169128,3562.58376169128,3562.58376169128,0.0,0.0,0.0,27224.437304536394
2021-10-23,24248.645379761678,17846.61553623234,55615.77407353781,24248.645379761678,24248.645379761678,11527.12976864373,11527.12976864373,11527.12976864373,11527.12976864373,11527.12976864373,11527.12976864373,0.0,0.0,0.0,35775.77514840541
2021-10-24,24835.43721667824,8319.2056632633,46584.219592929265,24835.43721667824,24835.43721667824,3120.2545286470086,3120.2545286470086,3120.2545286470086,3120.2545286470086,3120.2545286470086,3120.2545286470086,0.0,0.0,0.0,27955.69174532525
2021-10-25,25422.229047998677,2524.0923147914145,41593.01225401335,25422.229047998677,25422.229047998677,-3163.0910257761498,-3163.0910257761498,-3163.0910257761498,-3163.0910257761498,-3163.0910257761498,-3163.0910257761498,0.0,0.0,0.0,22259.138022222527
2021-10-26,26009.020879319116,5747.483515886612,43624.00184108797,26009.020879319116,26009.020879319116,-1940.492855132468,-1940.492855132468,-1940.492855132468,-1940.492855132468,-1940.492855132468,-1940.492855132468,0.0,0.0,0.0,24068.52802418665
2021-10-27,26595.812710639555,2634.9744148111295,40376.46960221323,26595.812710639555,26595.812710639555,-5409.119969562844,-5409.119969562844,-5409.119969562844,-5409.119969562844,-5409.119969562844,-5409.119969562844,0.0,0.0,0.0,21186.69274107671
2021-10-28,27182.604541959994,-409.775754482251,39338.691209770426,27182.604541959994,27182.604541959994,-7697.264208544944,-7697.264208544944,-7697.264208544944,-7697.264208544944,-7697.264208544944,-7697.264208544944,0.0,0.0,0.0,19485.34033341505
2021-10-29,27769.39633981107,10226.175321271123,51257.92596047134,27769.39633981107,27769.39633981107,3562.583761701397,3562.583761701397,3562.583761701397,3562.583761701397,3562.583761701397,3562.583761701397,0.0,0.0,0.0,31331.98010151247
2021-10-30,28356.18813766215,20641.664358287675,59577.92400536252,28356.18813766215,28356.18813766215,11527.129768647106,11527.129768647106,11527.129768647106,11527.129768647106,11527.129768647106,11527.129768647106,0.0,0.0,0.0,39883.317906309254
2021-10-31,28942.979935513235,13200.22622841278,52768.51687827055,28942.979935513235,28942.979935513235,3120.254528639092,3120.254528639092,3120.254528639092,3120.254528639092,3120.254528639092,3120.254528639092,0.0,0.0,0.0,32063.234464152327
2021-11-01,29529.77173336432,7200.541976224659,45122.594254943004,29529.77173336432,29529.77173336432,-3163.0910257767327,-3163.0910257767327,-3163.0910257767327,-3163.0910257767327,-3163.0910257767327,-3163.0910257767327,0.0,0.0,0.0,26366.680707587588
2021-11-02,30116.563418011283,8319.781661507313,47658.85523583885,30116.563418011283,30116.563418011283,-1940.4928551325986,-1940.4928551325986,-1940.4928551325986,-1940.4928551325986,-1940.4928551325986,-1940.4928551325986,0.0,0.0,0.0,28176.070562878685
2021-11-03,30703.35510265825,6829.999451917921,44563.872341366565,30703.35510265825,30703.35510265825,-5409.119969567675,-5409.119969567675,-5409.119969567675,-5409.119969567675,-5409.119969567675,-5409.119969567675,0.0,0.0,0.0,25294.235133090573
2021-11-04,31290.14678730521,4855.180577807004,43741.49565638694,31290.14678730521,31290.14678730521,-7697.264208560739,-7697.264208560739,-7697.264208560739,-7697.264208560739,-7697.264208560739,-7697.264208560739,0.0,0.0,0.0,23592.882578744473
2021-11-05,31876.93847195218,15639.06303504672,55921.12268892045,31876.93847195218,31876.93847195218,3562.5837617115144,3562.5837617115144,3562.5837617115144,3562.5837617115144,3562.5837617115144,3562.5837617115144,0.0,0.0,0.0,35439.522233663694
2021-11-06,32463.67427825872,23930.437351866443,63082.76458831635,32463.67427825872,32463.67427825872,11527.129768647137,11527.129768647137,11527.129768647137,11527.129768647137,11527.129768647137,11527.129768647137,0.0,0.0,0.0,43990.80404690586
2021-11-07,33050.41008456527,15869.367181887563,56107.91810258841,33050.41008456527,33050.41008456527,3120.2545286311747,3120.2545286311747,3120.2545286311747,3120.2545286311747,3120.2545286311747,3120.2545286311747,0.0,0.0,0.0,36170.664613196444
2021-11-08,33637.14589087181,10494.503385840191,50754.375473509455,33637.14589087181,33637.14589087181,-3163.091025777174,-3163.091025777174,-3163.091025777174,-3163.091025777174,-3163.091025777174,-3163.091025777174,0.0,0.0,0.0,30474.054865094637
2021-11-09,34223.881697178374,13065.134289097774,50787.37488984216,34223.881697178374,34223.881697178374,-1940.4928551321436,-1940.4928551321436,-1940.4928551321436,-1940.4928551321436,-1940.4928551321436,-1940.4928551321436,0.0,0.0,0.0,32283.38884204623
