ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,marathon,marathon_lower,marathon_upper,sick,sick_lower,sick_upper,vacation,vacation_lower,vacation_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-11-09,34473.77026613736,12839.209475037254,51614.535650047765,34473.77026613736,34473.77026613736,-2228.5886988580005,-2228.5886988580005,-2228.5886988580005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2228.5886988580005,-2228.5886988580005,-2228.5886988580005,0.0,0.0,0.0,32245.18156727936
2021-11-10,34965.908183107786,9542.682518627242,49160.28929942418,34965.908183107786,34965.908183107786,-6037.186559276675,-6037.186559276675,-6037.186559276675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6037.186559276675,-6037.186559276675,-6037.186559276675,0.0,0.0,0.0,28928.72162383111
2021-11-11,35458.046100078216,9473.68239557241,46590.566830491596,35458.046100078216,35458.046100078216,-7534.806883052701,-7534.806883052701,-7534.806883052701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7534.806883052701,-7534.806883052701,-7534.806883052701,0.0,0.0,0.0,27923.239217025515
2021-11-12,35950.18401704865,20255.50021243307,59036.464380597296,35950.18401704865,35950.18401704865,3669.0949206292235,3669.0949206292235,3669.0949206292235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.0949206292235,3669.0949206292235,3669.0949206292235,0.0,0.0,0.0,39619.27893767787
2021-11-13,36350.417314005856,28896.7851254996,68417.74899477417,36350.417314005856,36350.417314005856,12224.388328472736,12224.388328472736,12224.388328472736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12224.388328472736,12224.388328472736,12224.388328472736,0.0,0.0,0.0,48574.80564247859
2021-11-14,36750.65061096305,20806.609855938506,59505.24766157841,36750.65061096305,36750.65061096305,3317.4341135580985,3317.4341135580985,3317.4341135580985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.4341135580985,3317.4341135580985,3317.4341135580985,0.0,0.0,0.0,40068.08472452115
2021-11-15,37150.883907920266,13389.594301184763,53455.58058281041,37150.883907920266,37150.883907920266,-3410.335221445751,-3410.335221445751,-3410.335221445751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3410.335221445751,-3410.335221445751,-3410.335221445751,0.0,0.0,0.0,33740.54868647452
2021-11-16,37551.11720487746,15125.95683512942,55496.89815314337,37551.11720487746,37551.11720487746,-2228.5886988572793,-2228.5886988572793,-2228.5886988572793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2228.5886988572793,-2228.5886988572793,-2228.5886988572793,0.0,0.0,0.0,35322.52850602018
2021-11-17,37863.01055869202,10108.66214382027,51387.52346669726,37863.01055869202,37863.01055869202,-6037.186559283326,-6037.186559283326,-6037.186559283326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6037.186559283326,-6037.186559283326,-6037.186559283326,0.0,0.0,0.0,31825.82399940869
2021-11-18,38174.903912506576,10848.639937014419,50277.54101364421,38174.903912506576,38174.903912506576,-7534.806883047488,-7534.806883047488,-7534.806883047488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7534.806883047488,-7534.806883047488,-7534.806883047488,0.0,0.0,0.0,30640.097029459088
2021-11-19,38486.79726632113,23312.33528696002,62452.82977927109,38486.79726632113,38486.79726632113,3669.094920640024,3669.094920640024,3669.094920640024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.094920640024,3669.094920640024,3669.094920640024,0.0,0.0,0.0,42155.89218696116
2021-11-20,38798.69062013568,31476.379692731636,69710.60574867364,38798.69062013568,38798.69062013568,12224.388328471667,12224.388328471667,12224.388328471667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12224.388328471667,12224.388328471667,12224.388328471667,0.0,0.0,0.0,51023.07894860735
2021-11-21,38989.93382118831,23736.727055997664,62083.96080486599,38989.93382118831,38989.93382118831,3317.434113548455,3317.434113548455,3317.434113548455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.434113548455,3317.434113548455,3317.434113548455,0.0,0.0,0.0,42307.367934736765
2021-11-22,39181.17702224093,24567.157169264505,64319.174176356435,39181.17702224093,39181.17702224093,4598.582005722931,4598.582005722931,4598.582005722931,8008.917227168,8008.917227168,8008.917227168,0.0,0.0,0.0,8008.917227168,8008.917227168,8008.917227168,0.0,0.0,0.0,-3410.335221445068,-3410.335221445068,-3410.335221445068,0.0,0.0,0.0,43779.75902796386
2021-11-23,39372.42022329356,26022.91328190345,64268.74869879518,39372.42022329356,39372.42022329356,5780.328528311441,5780.328528311441,5780.328528311441,8008.917227168,8008.917227168,8008.917227168,0.0,0.0,0.0,8008.917227168,8008.917227168,8008.917227168,0.0,0.0,0.0,-2228.5886988565576,-2228.5886988565576,-2228.5886988565576,0.0,0.0,0.0,45152.748751604995
2021-11-24,39563.66342434618,22438.202566576976,62538.12480907532,39563.66342434618,39563.66342434618,1971.7306678815405,1971.7306678815405,1971.7306678815405,8008.917227168,8008.917227168,8008.917227168,0.0,0.0,0.0,8008.917227168,8008.917227168,8008.917227168,0.0,0.0,0.0,-6037.18655928646,-6037.18655928646,-6037.18655928646,0.0,0.0,0.0,41535.394092227725
2021-11-25,39657.63818938856,11450.019706414136,50654.314443471354,39657.63818938856,39657.63818938856,-7534.8068830444745,-7534.8068830444745,-7534.8068830444745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7534.8068830444745,-7534.8068830444745,-7534.8068830444745,0.0,0.0,0.0,32122.831306344087
2021-11-26,39751.612954430944,23482.713430567437,64466.76325469579,39751.612954430944,39751.612954430944,3669.0949205920674,3669.0949205920674,3669.0949205920674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.0949205920674,3669.0949205920674,3669.0949205920674,0.0,0.0,0.0,43420.707875023014
2021-11-27,39845.58771947332,33044.395658102105,73269.75195249126,39845.58771947332,39845.58771947332,12224.388328470599,12224.388328470599,12224.388328470599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12224.388328470599,12224.388328470599,12224.388328470599,0.0,0.0,0.0,52069.976047943914
2021-11-28,39939.5624845157,23099.448948628098,64614.49877136719,39939.5624845157,39939.5624845157,3317.434113541776,3317.434113541776,3317.434113541776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.434113541776,3317.434113541776,3317.434113541776,0.0,0.0,0.0,43256.99659805748
2021-11-29,39966.03975598446,17980.03138098321,56136.22588481846,39966.03975598446,39966.03975598446,-3410.335221448328,-3410.335221448328,-3410.335221448328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3410.335221448328,-3410.335221448328,-3410.335221448328,0.0,0.0,0.0,36555.704534536126
2021-11-30,39992.517027453214,19467.126281692657,56060.38391849934,39992.517027453214,39992.517027453214,-2228.588698857907,-2228.588698857907,-2228.588698857907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2228.588698857907,-2228.588698857907,-2228.588698857907,0.0,0.0,0.0,37763.928328595306
2021-12-01,40018.99429892197,15287.571561574307,54799.970935272046,40018.99429892197,40018.99429892197,-6037.1865592683735,-6037.1865592683735,-6037.1865592683735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6037.1865592683735,-6037.1865592683735,-6037.1865592683735,0.0,0.0,0.0,33981.807739653595
2021-12-02,40028.65460782016,13578.552873929235,52383.5944037375,40028.65460782016,40028.65460782016,-7534.806883041464,-7534.806883041464,-7534.806883041464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7534.806883041464,-7534.806883041464,-7534.806883041464,0.0,0.0,0.0,32493.847724778694
2021-12-03,40038.31491671834,25713.478566134596,64193.93725141655,40038.31491671834,40038.31491671834,3669.0949206028677,3669.0949206028677,3669.0949206028677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.0949206028677,3669.0949206028677,3669.0949206028677,0.0,0.0,0.0,43707.409837321204
2021-12-04,40047.97522561653,32062.6235552736,71993.56963625035,40047.97522561653,40047.97522561653,12224.38832846953,12224.38832846953,12224.38832846953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12224.38832846953,12224.38832846953,12224.38832846953,0.0,0.0,0.0,52272.363554086056
2021-12-05,40057.63553451471,23221.972594883548,63601.952251786635,40057.63553451471,40057.63553451471,3317.434113532131,3317.434113532131,3317.434113532131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.434113532131,3317.434113532131,3317.434113532131,0.0,0.0,0.0,43375.06964804684
2021-12-06,40067.19893769445,18000.50432863773,56017.4256336838,40067.19893769445,40067.19893769445,-3410.335221447646,-3410.335221447646,-3410.335221447646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3410.335221447646,-3410.335221447646,-3410.335221447646,0.0,0.0,0.0,36656.8637162468
2021-12-07,40076.762340874186,19632.077584183087,58544.82918789711,40076.762340874186,40076.762340874186,-2228.588698858564,-2228.588698858564,-2228.588698858564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2228.588698858564,-2228.588698858564,-2228.588698858564,0.0,0.0,0.0,37848.17364201562
2021-12-08,40086.32574405391,14405.878939511013,53707.35460728588,40086.32574405391,40086.32574405391,-6037.186559271506,-6037.186559271506,-6037.186559271506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6037.186559271506,-6037.186559271506,-6037.186559271506,0.0,0.0,0.0,34049.139184782405
2021-12-09,40095.889147233655,13942.266506447839,53247.55840021819,40095.889147233655,40095.889147233655,-7534.806883036251,-7534.806883036251,-7534.806883036251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7534.806883036251,-7534.806883036251,-7534.806883036251,0.0,0.0,0.0,32561.082264197405
2021-12-10,40105.45254115163,23774.72220348534,63108.60044829582,40105.45254115163,40105.45254115163,3669.0949206132223,3669.0949206132223,3669.0949206132223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.0949206132223,3669.0949206132223,3669.0949206132223,0.0,0.0,0.0,43774.54746176485
